Keyword	Argument 1	Argument 2	Argument 3	Argument 4
startApplication	addressbook			
chooseMenuItem	File	New		
verifyRowCount	0			
addAddress	Red	Herring	red.herring@froglogic.com	555 123 4567
addAddress	Blue	Cod	blue.cod@froglogic.com	555 098 7654
addAddress	Green	Pike	green.pike@froglogic.com	555 675 8493
verifyRowCount	3			
removeAddress	green.pike@froglogic.com			
removeAddress	blue.cod@froglogic.com			
removeAddress	red.herring@froglogic.com			
verifyRowCount	0			
terminate				
